,Trial,learning_rate,n_estimators,max_depth,min_child_weight,gamma,subsample,colsample_bytree
0,m07_t01_15,0.31,198.0,5.0,10.0,7.95,0.85,0.91
1,m07_t03_15,0.11,10.0,4.0,10.0,0.61,0.63,0.92
2,m07_t06_15,0.05,26.0,3.0,6.69,7.42,0.76,0.13
3,m10_t02_16,0.21,54.0,4.0,5.72,4.68,0.67,0.79
4,m11_t02_16,0.06,217.0,1.0,9.41,7.24,1.0,0.36
5,m11_t04_16,0.35,30.0,4.0,9.66,9.13,0.74,0.9
6,m12_t02_16,0.07,19.0,6.0,6.37,5.45,0.77,0.4
7,m14_t05_16,0.51,319.0,7.0,10.0,7.39,0.62,0.49
8,m14_t03_16,0.59,55.0,7.0,5.18,2.58,0.99,0.88
9,m15_t01_16,0.09,136.0,5.0,10.0,8.6,0.21000000000000002,0.52
10,m15_t03_16,0.25,179.0,10.0,10.0,6.04,0.12000000000000005,0.12
