,Trial,learning_rate,n_estimators,max_depth,min_child_weight,gamma,subsample,colsample_bytree
0,m07_t01_15,0.16,241.0,7.0,5.1,0.03999999999999998,0.77,0.79
1,m07_t03_15,0.26,98.0,1.0,1.53,1.19,0.29,0.64
2,m07_t06_15,0.05,135.0,3.0,0.72,1.22,0.62,0.34
3,m10_t02_16,0.9,134.0,2.0,2.1,1.81,0.55,0.27
4,m11_t02_16,0.45,111.0,9.0,7.38,2.3699999999999997,0.59,0.59
5,m11_t04_16,0.43999999999999995,204.0,2.0,5.96,0.89,0.8,0.75
6,m12_t02_16,0.43,98.0,1.0,7.18,0.79,0.21,0.42
7,m14_t05_16,1.0,160.0,4.0,10.0,7.85,1.0,0.4
8,m14_t03_16,0.22,248.0,8.0,0.16,0.51,0.62,0.48
9,m15_t01_16,0.29,30.0,7.0,6.8,0.73,0.82,0.43
10,m15_t03_16,0.34,48.0,2.0,6.68,0.01,0.93,0.23
